P91604,l,1992,2
Y02767,d,2003,3146
Y02767,D,2003,67
P87624,H,1972,10
P87639,k,2008,300
P87639,K,2008,82
P87632,0,2004,12
P84049,d,2012,9
P87016,7,2003,1581
P87035,Z,1964,3
Y02660,6,2007,43
P87625,K,1955,2
P87634,j,1997,413
P87634,J,1997,122
P87003,S,2007,416
P87003,s,2007,77
P82023,9,2005,5
P84688,d,2011,59
P82009,i,2003,12
P87654,H,2009,1503
P87654,h,2009,475
P87002,A,1960,5
P87613,W,2002,104
P82643,E,2005,4
Y02767,$,2013,214
P91032,p,2010,3
P91032,P,2010,2
Y02622,R,1995,31
P87035,C,2014,411
P87035,c,2014,11830
P87039,L,2014,35
P87039,l,2014,972
P91014,R,1970,1
P83011,R,2008,12
P91605,Z,2003,1
P87630,F,1963,1
P84038,1,2010,34
P87003,1,2005,7761
P92014,9,2011,1
P87008,F,1972,33
P87630,O,1992,15
P87025,4,1985,2
P87002,l,1999,1134
P87002,L,1999,181
P87027,B,1960,1
P82660,$,2001,5
Y03079,N,2007,4
Y02890,1,2004,3
P82008,R,1994,3
P91603,7,2006,9
P87625,A,1987,6
P91026,L,1993,1
Y00050,K,2002,10
P87025,p,1989,68
P87025,P,1989,13
P87025,N,1964,1
P87610,H,2004,2250
P87610,h,2004,591
P87630,Z,1993,4
P82009,9,2013,64
Y02325,E,2003,15
P87658,S,1974,14
P87641,T,1997,35
P87657,A,1987,8
P87022,d,1989,2
P87658,M,1971,6
P91006,F,1998,6
P91006,f,1998,4
P87642,B,2008,159
P87642,b,2008,283
P91006,4,2012,3430
P87019,F,2005,2006
P87019,f,2005,10919
P86005,9,2003,3621
P84067,6,2012,5
P87024,M,1981,34
P92023,6,2002,4
P87649,H,2012,657
P87649,h,2012,1
P83004,Z,2011,8
W91062,Z,1996,1
P87617,2,2005,1512
ZZZZ,H,1964,5
P83011,7,1993,3
P91623,1,2012,38
P87634,A,1971,3
P87003,j,2006,1988
P87003,J,2006,273
Y02767,~,2014,58
P91030,8,2012,3
NULL,j,2012,81
NULL,J,2012,14
N81007,c,2000,3
P87642,K,1987,2
Y02321,4,2005,1314
Y02622,H,1992,240
P92020,G,1997,1
P87026,N,1984,9
P92646,R,2000,2
P86005,f,2014,7455
